model,predictors,n,r2,adj_r2,f_pvalue,coef_const,coef_H_100,coef_H_80,coef_H_60,coef_H_40,coef_H_20,p_const,p_H_100,p_H_80,p_H_60,p_H_40,p_H_20
1,H_100,558,0.22206,0.22066,3.442453196363348e-32,1.0215,-0.5417,,,,,0.0,0.0,,,,
2,H_100+H_80,558,0.26611,0.26346,5.164516020273298e-38,1.0672,0.1541,-0.7553,,,,0.0,0.2277,0.0,,,
3,H_100+H_80+H_60,558,0.274,0.27007,2.9787681896364724e-38,1.0928,0.118,-0.3889,-0.3602,,,0.0,0.3565,0.0502,0.0144,,
4,H_100+H_80+H_60+H_40,558,0.31752,0.31258,1.1868571086177963e-44,1.1821,-0.1226,-0.1946,0.2753,-0.662,,0.0,0.3481,0.3187,0.1228,0.0,
5,H_100+H_80+H_60+H_40+H_20,558,0.33603,0.33002,5.584790949201033e-47,1.0315,0.0304,-0.3042,0.2807,-0.8936,0.3485,0.0,0.8212,0.1185,0.111,0.0,0.0001
