model,predictors,n,r2,adj_r2,f_pvalue,coef_const,coef_H_100,coef_H_80,coef_H_60,coef_H_40,coef_H_20,p_const,p_H_100,p_H_80,p_H_60,p_H_40,p_H_20
1,H_100,558,0.40484,0.40377,1.1801847050986463e-64,1.1136,-0.3557,,,,,0.0,0.0,,,,
2,H_100+H_80,558,0.52153,0.5198,1.445280932234371e-89,1.1497,0.195,-0.5977,,,,0.0,0.0001,0.0,,,
3,H_100+H_80+H_60,558,0.54841,0.54596,3.229191526436541e-95,1.1727,0.1626,-0.269,-0.3231,,,0.0,0.001,0.0004,0.0,,
4,H_100+H_80+H_60+H_40,558,0.55866,0.55547,9.353155412710814e-97,1.1938,0.1058,-0.2231,-0.1731,-0.1562,,0.0,0.0386,0.0036,0.0132,0.0004,
5,H_100+H_80+H_60+H_40+H_20,558,0.5596,0.55562,7.32745907972073e-96,1.2103,0.089,-0.2111,-0.1737,-0.1308,-0.0382,0.0,0.0956,0.0063,0.0129,0.0084,0.2775
