domain,name,n_nodes,n_edges,method,level,value,coarsen_seconds,n_nodes_reduced,n_edges_reduced
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,80,0.7773851590106007,0.0389427910000002,56.0,135.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,60,0.8078880407124682,0.030009042,42.0,93.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,40,0.7881210736721873,0.0189005409999998,29.0,59.0
Biological,Parsnip_and_McGregor_host-parasite_webs_Parsnip_River,70,158,variation_edges,20,0.8977556109725685,0.0128942919999999,16.0,22.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_neighborhood,100,0.8298631766805473,0.0,84.0,86.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_neighborhood,80,0.9146110056925996,0.0431349170000001,68.0,70.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_neighborhood,60,1.0228471001757469,0.031161875,51.0,53.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_neighborhood,40,1.0740740740740742,0.0251027920000002,34.0,34.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_neighborhood,20,0.9906542056074766,0.0214954999999998,19.0,19.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_edges,100,0.8189823874755381,0.0,84.0,86.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_edges,80,0.871475649945075,0.0363708749999998,68.0,70.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_edges,60,0.98159509202454,0.026760625,53.0,54.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_edges,40,0.8868778280542986,0.014578417,34.0,34.0
Biological,56e98770a6d70217090cdd7f,84,86,variation_edges,20,0.8101851851851851,0.0103102920000002,17.0,16.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_neighborhood,100,0.5166303162486369,0.0,112.0,166.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_neighborhood,80,0.4556768140915183,0.0799997910000001,91.0,123.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_neighborhood,60,0.5202474690663667,0.0495069169999999,68.0,91.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_neighborhood,40,0.6756598240469208,0.0297053329999998,45.0,61.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_neighborhood,20,0.8686210640608035,0.0186627909999996,23.0,33.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_edges,100,0.5148057593045368,0.0,112.0,166.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_edges,80,0.5379759321365162,0.0718225829999998,91.0,133.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_edges,60,0.4759881002974925,0.0413838750000001,69.0,89.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_edges,40,0.5755775577557756,0.032025291,47.0,52.0
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,variation_edges,20,0.3780487804878049,0.03019725,46.0,46.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_neighborhood,100,0.3497869318181817,0.0,128.0,134.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_neighborhood,80,0.2197802197802198,0.0715150420000001,106.0,109.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_neighborhood,60,0.1263712154453707,0.0706935829999997,94.0,93.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_neighborhood,40,0.1298701298701298,0.069536625,94.0,93.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_neighborhood,20,0.574585635359116,0.0196806660000001,26.0,29.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_edges,100,0.3415987515172533,0.0,128.0,134.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_edges,80,0.1781844449795328,0.0598278750000003,103.0,103.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_edges,60,0.1850582590815627,0.0635857080000001,100.0,99.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_edges,40,0.1705069124423963,0.069902458,100.0,99.0
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,variation_edges,20,0.1849037487335359,0.0593344579999994,100.0,99.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_neighborhood,100,0.8940603757903173,0.0,155.0,744.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_neighborhood,80,0.8727910427627141,0.2989113750000003,125.0,510.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_neighborhood,60,0.9221536641027808,0.1234822920000002,93.0,286.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_neighborhood,40,0.9136573445560684,0.0789792919999996,62.0,204.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_neighborhood,20,0.8136614766449021,0.0457154590000001,31.0,66.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_edges,100,0.8935299178260998,0.0,155.0,744.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_edges,80,0.8798969530070179,0.1759043340000001,124.0,530.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_edges,60,0.8794613597092296,0.1259344169999998,93.0,439.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_edges,40,0.8511445554571898,0.0687381250000003,63.0,230.0
Biological,573f4b0f3d097b601f7bab26,155,744,variation_edges,20,0.8022388059701492,0.0299872920000003,32.0,69.0
Biological,56e98770a6d70217090cde4f,192,307,variation_neighborhood,100,0.8375767071419246,0.0,192.0,307.0
Biological,56e98770a6d70217090cde4f,192,307,variation_neighborhood,80,0.8351741716227697,0.1931839169999998,155.0,245.0
Biological,56e98770a6d70217090cde4f,192,307,variation_neighborhood,60,0.8636479267361994,0.1162510829999998,116.0,174.0
Biological,56e98770a6d70217090cde4f,192,307,variation_neighborhood,40,0.8761826408885233,0.074858292,78.0,119.0
Biological,56e98770a6d70217090cde4f,192,307,variation_neighborhood,20,0.9929435483870968,0.046296292,39.0,60.0
Biological,56e98770a6d70217090cde4f,192,307,variation_edges,100,0.836539088478842,0.0,192.0,307.0
Biological,56e98770a6d70217090cde4f,192,307,variation_edges,80,0.8574007220216606,0.1580920829999996,154.0,235.0
Biological,56e98770a6d70217090cde4f,192,307,variation_edges,60,0.8695652173913043,0.1123205,116.0,172.0
Biological,56e98770a6d70217090cde4f,192,307,variation_edges,40,0.9168539325842696,0.0536691249999998,77.0,112.0
Biological,56e98770a6d70217090cde4f,192,307,variation_edges,20,0.9465776293823038,0.0270786249999996,39.0,59.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_neighborhood,100,0.6807811535025392,0.0,273.0,3933.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_neighborhood,80,0.643355763788441,0.771593417000001,220.0,2202.0
Biological,Malaria_var_DBLa_HVR_networks_HVR_networks_8,273,3933,variation_neighborhood,60,0.6473704612999095,0.396443875000001,164.0,847.0
