domain,name,n_nodes,n_edges,level,measure,value,auc
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_binary_lc,297,560,20,spectral_entropy,0.8492822966507177,
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_binary_lc,297,560,100,adamic_adar_entropy,3.22273821129423,0.6023596938775511
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_binary_lc,297,560,100,seal_entropy,0.6040749967259428,0.8655931122448979
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,100,spectral_entropy,0.345553411682161,
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,80,spectral_entropy,0.2267224301122606,
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,60,spectral_entropy,0.1276935355147645,
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,40,spectral_entropy,0.1281024819855884,
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,20,spectral_entropy,0.6025492468134415,
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,100,adamic_adar_entropy,,0.3069526627218935
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,100,seal_entropy,0.2603524380522172,0.9911242603550297
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,100,spectral_entropy,0.7708665603402446,
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,80,spectral_entropy,0.8268229166666667,
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,60,spectral_entropy,0.8930232558139535,
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,40,spectral_entropy,1.047040971168437,
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,20,spectral_entropy,0.8849557522123893,
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,100,adamic_adar_entropy,,0.4
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,100,seal_entropy,0.9315520459418734,0.78
Biological,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,26,56,100,spectral_entropy,0.7997481108312342,
Biological,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,26,56,80,spectral_entropy,0.8690744920993229,
Biological,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,26,56,60,spectral_entropy,0.8561020036429873,
Biological,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,26,56,40,spectral_entropy,0.9428571428571428,
Biological,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,26,56,20,spectral_entropy,1.0185185185185184,
Biological,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,26,56,100,adamic_adar_entropy,1.3514764695717627,0.6859504132231405
Biological,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,26,56,100,seal_entropy,0.6032808170870616,0.7851239669421487
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_hq,32,37,100,spectral_entropy,0.925925925925926,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_hq,32,37,80,spectral_entropy,1.013986013986014,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_hq,32,37,60,spectral_entropy,0.9786476868327402,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_hq,32,37,40,spectral_entropy,0.99009900990099,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_hq,32,37,20,spectral_entropy,0.96,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_hq,32,37,100,adamic_adar_entropy,,0.5714285714285714
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_hq,32,37,100,seal_entropy,0.8866950819254699,0.7959183673469388
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,32,37,100,spectral_entropy,0.9228187919463088,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,32,37,80,spectral_entropy,1.0171568627450982,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,32,37,60,spectral_entropy,0.935374149659864,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,32,37,40,spectral_entropy,1.0621761658031088,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,32,37,20,spectral_entropy,1.04,
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,32,37,100,adamic_adar_entropy,,0.5714285714285714
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,32,37,100,seal_entropy,1.0506751645750858,0.7959183673469388
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,100,spectral_entropy,0.8654326538768985,
