model,predictors,n,r2,adj_r2,f_pvalue,coef_const,coef_H_100,coef_H_80,coef_H_60,coef_H_40,coef_H_20,p_const,p_H_100,p_H_80,p_H_60,p_H_40,p_H_20
1,H_100,558,0.63246,0.6318,6.069829813527376e-123,-0.1785,0.9428,,,,,0.0,0.0,,,,
2,H_100+H_80,558,0.67911,0.67795,1.0343662848484473e-137,-0.227,0.2044,0.8015,,,,0.0,0.0192,0.0,,,
3,H_100+H_80+H_60,558,0.68622,0.68452,5.751896083075036e-139,-0.2521,0.2397,0.443,0.3524,,,0.0,0.0059,0.001,0.0004,,
4,H_100+H_80+H_60+H_40,558,0.7013,0.69914,1.5594422725571649e-143,-0.3064,0.3858,0.3251,-0.0334,0.4019,,0.0,0.0,0.0149,0.7834,0.0,
5,H_100+H_80+H_60+H_40+H_20,558,0.70526,0.70259,7.587861524402427e-144,-0.2345,0.3128,0.3773,-0.036,0.5123,-0.1662,0.0,0.0008,0.0049,0.7659,0.0,0.0067
