domain,name,n_nodes,n_edges,level,measure,value,auc,H_raw,denom
Biological,56e98770a6d70217090cdd85,182,224,60,spectral_entropy,0.9533042494748748,,,
Biological,56e98770a6d70217090cdd85,182,224,80,spectral_entropy,0.8748073959938366,,,
Biological,56e98770a6d70217090cdd85,182,224,100,spectral_entropy,0.8736695974086072,,,
Biological,56e98770a6d70217090cdd86,223,276,100,adamic_adar_entropy,0.7508508176005131,0.5287603305785123,5.106461250274409,6.800899899920305
Biological,56e98770a6d70217090cdd86,223,276,100,seal_entropy,0.7317484070027883,0.7289256198347107,4.976547667952105,6.800899899920305
Biological,56e98770a6d70217090cdd86,223,276,20,spectral_entropy,1.087179487179487,,,
Biological,56e98770a6d70217090cdd86,223,276,40,spectral_entropy,0.9870232009437672,,,
Biological,56e98770a6d70217090cdd86,223,276,60,spectral_entropy,0.9523212045169384,,,
Biological,56e98770a6d70217090cdd86,223,276,80,spectral_entropy,0.9219284043892788,,,
Biological,56e98770a6d70217090cdd86,223,276,100,spectral_entropy,0.9091577245332942,,,
Biological,56e98770a6d70217090cdd87,120,163,100,adamic_adar_entropy,0.7366667276337318,0.56494140625,4.351409765557392,5.906890595608519
Biological,56e98770a6d70217090cdd87,120,163,100,seal_entropy,0.6818339024736455,0.72900390625,4.027518266288633,5.906890595608519
Biological,56e98770a6d70217090cdd87,120,163,20,spectral_entropy,0.9802073515551368,,,
Biological,56e98770a6d70217090cdd87,120,163,40,spectral_entropy,0.9931506849315068,,,
Biological,56e98770a6d70217090cdd87,120,163,60,spectral_entropy,0.9933283914010378,,,
Biological,56e98770a6d70217090cdd87,120,163,80,spectral_entropy,0.9642797249706524,,,
Biological,56e98770a6d70217090cdd87,120,163,100,spectral_entropy,0.9658308073849546,,,
Biological,56e98770a6d70217090cdd88,158,200,100,adamic_adar_entropy,0.7589387878318353,0.5249999999999999,4.7841837197791905,6.303780748177103
Biological,56e98770a6d70217090cdd88,158,200,100,seal_entropy,0.6924910155683068,0.7743749999999998,4.365311532225103,6.303780748177103
Biological,56e98770a6d70217090cdd88,158,200,20,spectral_entropy,0.9424083769633508,,,
Biological,56e98770a6d70217090cdd88,158,200,40,spectral_entropy,1.0119363395225462,,,
Biological,56e98770a6d70217090cdd88,158,200,60,spectral_entropy,0.9996227838551488,,,
Biological,56e98770a6d70217090cdd88,158,200,80,spectral_entropy,0.9439890710382514,,,
Biological,56e98770a6d70217090cdd88,158,200,100,spectral_entropy,0.931372549019608,,,
Biological,56e98770a6d70217090cddaf,254,286,100,adamic_adar_entropy,0.7925589531709426,0.543859649122807,5.5389446193899445,6.9886846867721655
Biological,56e98770a6d70217090cddaf,254,286,100,seal_entropy,0.7297517879447254,0.6812865497076024,5.100005145553911,6.9886846867721655
Biological,56e98770a6d70217090cddaf,254,286,20,spectral_entropy,0.9960915689558906,,,
Biological,56e98770a6d70217090cddaf,254,286,40,spectral_entropy,0.9870024370430543,,,
Biological,56e98770a6d70217090cddaf,254,286,60,spectral_entropy,0.9678407350689128,,,
Biological,56e98770a6d70217090cddaf,254,286,80,spectral_entropy,0.9256040326786026,,,
Biological,56e98770a6d70217090cddaf,254,286,100,spectral_entropy,0.8704838368899218,,,
Biological,56e98770a6d70217090cdddd,346,417,100,adamic_adar_entropy,0.769310959326474,0.5662650602409639,5.7195409740388925,7.434628227636725
Biological,56e98770a6d70217090cdddd,346,417,100,seal_entropy,0.693813797373379,0.8054870082740601,5.158247642675951,7.434628227636725
Biological,56e98770a6d70217090cdddd,346,417,20,spectral_entropy,0.9331453886427707,,,
Biological,56e98770a6d70217090cdddd,346,417,40,spectral_entropy,0.9705018516153748,,,
Biological,56e98770a6d70217090cdddd,346,417,60,spectral_entropy,0.945515373586108,,,
Biological,56e98770a6d70217090cdddd,346,417,80,spectral_entropy,0.9259774206106446,,,
Biological,56e98770a6d70217090cdddd,346,417,100,spectral_entropy,0.8577696199131487,,,
Biological,56e98770a6d70217090cde03,386,460,100,adamic_adar_entropy,0.797485270927982,0.5378662570888468,6.054872657374799,7.59245703726808
Biological,56e98770a6d70217090cde03,386,460,100,seal_entropy,0.7256680014554459,0.7422613421550095,5.509603124370663,7.59245703726808
Biological,56e98770a6d70217090cde03,386,460,20,spectral_entropy,0.9874415168677664,,,
Biological,56e98770a6d70217090cde03,386,460,40,spectral_entropy,1.0006075334143378,,,
Biological,56e98770a6d70217090cde03,386,460,60,spectral_entropy,0.9951605207552314,,,
Biological,56e98770a6d70217090cde03,386,460,80,spectral_entropy,0.9586437965694854,,,
Biological,56e98770a6d70217090cde03,386,460,100,spectral_entropy,0.9090543583145708,,,
Biological,56e98770a6d70217090cde04,359,443,100,adamic_adar_entropy,0.7525848199260499,0.5742510330578512,5.6352347434897885,7.487840033823051
Biological,56e98770a6d70217090cde04,359,443,100,seal_entropy,0.6882283982825853,0.7507747933884298,5.153344153074258,7.487840033823051
Biological,56e98770a6d70217090cde04,359,443,20,spectral_entropy,0.9204368174726988,,,
Biological,56e98770a6d70217090cde04,359,443,40,spectral_entropy,0.95069173465768,,,
Biological,56e98770a6d70217090cde04,359,443,60,spectral_entropy,0.9878734102336586,,,
Biological,56e98770a6d70217090cde04,359,443,80,spectral_entropy,0.9540743751270068,,,
Biological,56e98770a6d70217090cde04,359,443,100,spectral_entropy,0.9053446553446554,,,
Biological,56e98770a6d70217090cde06,339,369,100,adamic_adar_entropy,0.7863886570729763,0.5205479452054794,5.823319250631204,7.405141463136344
Biological,56e98770a6d70217090cde06,339,369,100,seal_entropy,0.6948492526619933,0.7255582660911991,5.145457011516628,7.405141463136344
Biological,56e98770a6d70217090cde06,339,369,20,spectral_entropy,1.0066280033140016,,,
Biological,56e98770a6d70217090cde06,339,369,40,spectral_entropy,1.0023980815347722,,,
Biological,56e98770a6d70217090cde06,339,369,60,spectral_entropy,0.9774938012588212,,,
Biological,56e98770a6d70217090cde06,339,369,80,spectral_entropy,0.8617868199911544,,,
Biological,56e98770a6d70217090cde06,339,369,100,spectral_entropy,0.8007546378786291,,,
Biological,56e98770a6d70217090cde08,318,381,100,adamic_adar_entropy,0.7668753593104884,0.5526315789473684,5.608069743929236,7.312882955284355
Biological,56e98770a6d70217090cde08,318,381,100,seal_entropy,0.7048179255025079,0.7174515235457063,5.154250993986168,7.312882955284355
Biological,56e98770a6d70217090cde08,318,381,20,spectral_entropy,0.950960901259112,,,
Biological,56e98770a6d70217090cde08,318,381,40,spectral_entropy,0.94248291571754,,,
Biological,56e98770a6d70217090cde08,318,381,60,spectral_entropy,0.9226617188158892,,,
Biological,56e98770a6d70217090cde08,318,381,80,spectral_entropy,0.8946322067594434,,,
Biological,56e98770a6d70217090cde08,318,381,100,spectral_entropy,0.8514881100752779,,,
Biological,56e98770a6d70217090cde3e,116,134,100,adamic_adar_entropy,0.7236113022777599,0.5192307692307693,4.23890125660263,5.857980995127572
Biological,56e98770a6d70217090cde3e,116,134,100,seal_entropy,0.6693483002076939,0.6782544378698225,3.921029621737615,5.857980995127572
Biological,56e98770a6d70217090cde3e,116,134,20,spectral_entropy,0.984743411927878,,,
Biological,56e98770a6d70217090cde3e,116,134,40,spectral_entropy,0.9249471458773784,,,
Biological,56e98770a6d70217090cde3e,116,134,60,spectral_entropy,0.8626648476580263,,,
Biological,56e98770a6d70217090cde3e,116,134,80,spectral_entropy,0.806929564622749,,,
Biological,56e98770a6d70217090cde3e,116,134,100,spectral_entropy,0.7348132851488556,,,
Biological,56e98770a6d70217090cde3f,176,199,100,adamic_adar_entropy,0.786489325016772,0.5128205128205129,5.080274013734043,6.459431618637297
Biological,56e98770a6d70217090cde3f,176,199,100,seal_entropy,0.7169834278478734,0.7212360289283366,4.631305423879507,6.459431618637297
Biological,56e98770a6d70217090cde3f,176,199,20,spectral_entropy,0.9553695955369595,,,
Biological,56e98770a6d70217090cde3f,176,199,40,spectral_entropy,0.918918918918919,,,
Biological,56e98770a6d70217090cde3f,176,199,60,spectral_entropy,0.8943252456386606,,,
Biological,56e98770a6d70217090cde3f,176,199,80,spectral_entropy,0.8033654498575112,,,
Biological,56e98770a6d70217090cde3f,176,199,100,spectral_entropy,0.7641921397379913,,,
Biological,56e98770a6d70217090cde40,142,159,100,adamic_adar_entropy,0.7281977795819593,0.5478668054110302,4.47823219741386,6.149747119504682
Biological,56e98770a6d70217090cde40,142,159,100,seal_entropy,0.6967252030132559,0.6347554630593132,4.284683810317086,6.149747119504682
Biological,56e98770a6d70217090cde40,142,159,20,spectral_entropy,0.9585253456221198,,,
Biological,56e98770a6d70217090cde40,142,159,40,spectral_entropy,0.9963099630996308,,,
Biological,56e98770a6d70217090cde40,142,159,60,spectral_entropy,0.8743589743589744,,,
Biological,56e98770a6d70217090cde40,142,159,80,spectral_entropy,0.8123249299719887,,,
Biological,56e98770a6d70217090cde40,142,159,100,spectral_entropy,0.7329696461043503,,,
Biological,56e98770a6d70217090cde41,411,488,100,adamic_adar_entropy,0.7786313709218067,0.5515463917525774,5.9822206054768845,7.682994583681683
Biological,56e98770a6d70217090cde41,411,488,100,seal_entropy,0.7019867830627928,0.7636305664789031,5.3933606520875665,7.682994583681683
Biological,56e98770a6d70217090cde41,411,488,20,spectral_entropy,0.8981769675411294,,,
Biological,56e98770a6d70217090cde41,411,488,40,spectral_entropy,0.8495593359294938,,,
Biological,56e98770a6d70217090cde41,411,488,60,spectral_entropy,0.8236791852323361,,,
Biological,56e98770a6d70217090cde41,411,488,80,spectral_entropy,0.7869003690036901,,,
Biological,56e98770a6d70217090cde41,411,488,100,spectral_entropy,0.7422153776809525,,,
Biological,56e98770a6d70217090cde42,257,302,100,adamic_adar_entropy,0.7890292195588064,0.5333333333333333,5.527642470572461,7.005624549193879
Biological,56e98770a6d70217090cde42,257,302,100,seal_entropy,0.6971287991374854,0.76625,4.883822629187616,7.005624549193879
Biological,56e98770a6d70217090cde42,257,302,20,spectral_entropy,0.9853372434017597,,,
Biological,56e98770a6d70217090cde42,257,302,40,spectral_entropy,0.8996675141795423,,,
Biological,56e98770a6d70217090cde42,257,302,60,spectral_entropy,0.8401210146613917,,,
Biological,56e98770a6d70217090cde42,257,302,80,spectral_entropy,0.8054187192118226,,,
Biological,56e98770a6d70217090cde42,257,302,100,spectral_entropy,0.7647702407002188,,,
Biological,56e98770a6d70217090cde45,305,477,100,adamic_adar_entropy,0.7523733775537399,0.6157894736842106,5.456712387679849,7.252665432450248
Biological,56e98770a6d70217090cde45,305,477,100,seal_entropy,0.6316754511615652,0.9028808864265928,4.581330709166899,7.252665432450248
Biological,56e98770a6d70217090cde45,305,477,20,spectral_entropy,0.804724409448819,,,
Biological,56e98770a6d70217090cde45,305,477,40,spectral_entropy,0.8205988988854572,,,
Biological,56e98770a6d70217090cde45,305,477,60,spectral_entropy,0.7622016009067082,,,
Biological,56e98770a6d70217090cde45,305,477,80,spectral_entropy,0.7575454727163702,,,
Biological,56e98770a6d70217090cde45,305,477,100,spectral_entropy,0.742667745789494,,,
Biological,56e98770a6d70217090cde46,283,437,100,adamic_adar_entropy,0.7149855432987662,0.6377328577090764,5.108327355435161,7.144658242831882
Biological,56e98770a6d70217090cde46,283,437,100,seal_entropy,0.5668311435645788,0.9161051658079006,4.04981480216249,7.144658242831882
Biological,56e98770a6d70217090cde46,283,437,20,spectral_entropy,0.8213972522654194,,,
Biological,56e98770a6d70217090cde46,283,437,40,spectral_entropy,0.7597560975609756,,,
Biological,56e98770a6d70217090cde46,283,437,60,spectral_entropy,0.736598822038321,,,
Biological,56e98770a6d70217090cde46,283,437,80,spectral_entropy,0.7505399568034558,,,
Biological,56e98770a6d70217090cde46,283,437,100,spectral_entropy,0.7522218882830278,,,
Biological,56e98770a6d70217090cde47,224,348,100,adamic_adar_entropy,0.7104714261112859,0.644927536231884,4.836431159519947,6.807354922057604
